State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Other Vehicles,Grand Total
Andaman and Nicobar Island,1,30,81,NA,40,7,159
Arunachal Pradesh,14,NA,5,NA,NA,1,20
Assam,721,47041,161,7,15,2,47947
Bihar,5003,59079,114,11,26,8,64241
Chandigarh,298,1410,182,NA,40,1,1931
Chhattisgarh,6424,5341,117,1077,1,100,13060
Delhi,14730,112831,3051,49,39,1602,132302
Goa,1314,28,289,13,36,4,1684
Gujarat,13662,1869,1309,28,278,77,17223
Haryana,7777,18595,186,122,8,90,26778
Himachal Pradesh,368,167,37,7,86,46,711
Jammu and Kashmir,1417,43,10,6,43,8,1527
Jharkhand,2961,8986,139,24,4,57,12171
Karnataka,56737,16478,7212,153,44,1420,82044
Kerala,10299,2115,2524,43,23,17,15021
Ladakh,12,NA,5484,NA,NA,NA,5496
Maharashtra,51149,6155,2,30,851,601,58788
Manipur,86,443,9,1,NA,1,540
Meghalaya,16,6,3,3,NA,NA,28
Mizoram,9,1,4,2,1,3,20
Nagaland,44,NA,121,3,NA,1,169
Odisha,10329,1808,75,21,NA,23,12256
Puducherry,1429,32,124,9,20,NA,1614
Punjab,6408,2878,798,35,2,21,10142
Rajasthan,23446,29631,12,25,1,24,53139
Sikkim,1,NA,2414,1,NA,9,2425
Tamil Nadu,44302,4470,13,1281,37,193,50296
Tripura,67,7510,14,1,NA,1,7593
Dadra and Nagar Haveli and Daman and Diu,69,36,153,2,10,NA,270
Uttar Pradesh,18295,257159,368,53,327,13,276215
Uttarakhand,2614,22096,709,1,10,21,25451
West Bengal,2540,40948,615,28,97,61,44289
Grand Total,282542,647186,26335,3036,2039,4412,965550
